ShellNo,kx,ky,kz,u_amp,v_amp,w_amp,u_hat_pn1,u_hat_pn2,u_hat_pn3
1,23.773603806954490,41.795123209036234,41.887902047863896,0.44629612351376817E-3,-0.96533247520701063E-3,0.70989763306805178E-3,0.34903101058873137,-0.75494935228858229,0.55518359947539775
1,-15.827031363055038,45.403982647576548,41.887902047863896,0.14517297188423647E-3,-0.83372250940584472E-3,0.95855790254561709E-3,0.11353419045630896,-0.65202226655575679,0.74965121991024886
1,-31.398164621216921,36.416642080888273,41.887902047863896,0.57300451519298236E-3,-0.61458607366183117E-3,0.96382127524646517E-3,0.44812476396860945,-0.48064409947161879,0.75376750099828183
1,-12.596256126484576,46.404212024605698,41.887902047863896,-0.12509581566515018E-2,-0.13279876263581002E-3,-0.22906297373824358E-3,-0.97832619782282393,-0.10385679795464303,-0.17914133016181744
1,46.379220328402667,12.687966100129710,41.887902047863896,0.81140795036362318E-3,-0.71548843014353301E-3,-0.68168549302869829E-3,0.63457090929988713,-0.55955594655717011,-0.53311997124739552
1,32.630654213990127,35.316525417933867,41.887902047863896,-0.10096421533684172E-2,0.22494928846478691E-5,0.78461412739746182E-3,-0.78960224513868138,0.17592417533435843E-2,0.61361649223306181
1,34.000121779403678,34.000121779403678,41.887902047863896,0.19978926753214935E-4,-0.10005527686996595E-2,0.79592503825521687E-3,0.15624749191749873E-1,-0.78249378743667675,0.62246232001278601
1,-34.000121779403678,34.000121779403678,-41.887902047863896,0.75574672441802758E-3,0.10104913967283633E-2,0.20677449711634311E-3,0.59104040809489600,0.79026640566471062,0.16171037096240318
1,-34.000121779403678,34.000121779403678,-41.887902047863896,0.72076442387798679E-3,0.10265867089682796E-2,0.24823384384455504E-3,0.56368209806952896,0.80285392951011070,0.19413412936963928
1,-40.309346016966565,26.213988359519465,41.887902047863896,0.93656623990185088E-3,0.75905088942445492E-3,0.42624768917659317E-3,0.73245238749232988,0.59362446829749305,0.33335190219241984
1,-34.000121779403678,-34.000121779403678,41.887902047863896,-0.93949995944649187E-3,0.86528165100901674E-3,-0.60242490116885150E-4,-0.73474673656573919,0.67670345580818414,-0.47113331481198541E-1
1,-24.729533189247693,-41.236716046145780,41.887902047863896,0.11615584387744771E-2,-0.49727995465942095E-3,0.19620475782726604E-3,0.90841012140410771,-0.38890350145499691,0.15344418492278328
1,10.635360765498676,-46.892490479993185,41.887902047863896,0.12605832281530490E-2,0.17342654528035805E-3,-0.12591594529562435E-3,0.98585359556655583,0.13563022211697157,-0.98474011581710222E-1
1,45.677444598575491,-15.019574460437507,41.887902047863896,0.36285637366392971E-3,-0.97389730557536670E-3,-0.74488989607379968E-3,0.28377599563572425,-0.76164757627370760,-0.58254970076152313
1,47.324257146504408,8.5106549430749983,41.887902047863896,0.37485048214512805E-3,-0.12095003618356164E-2,-0.17775730011285250E-3,0.29315612596565838,-0.94590365310645164,-0.13901713868684165
1,34.000121779403678,34.000121779403678,41.887902047863896,0.46234463212152212E-3,-0.10811730138452580E-2,0.50229873807278169E-3,0.36158193111590353,-0.84554377634434752,0.39282849868082925
1,34.000121779403678,34.000121779403678,-41.887902047863896,-0.76321487126531262E-3,-0.40044616289699672E-3,-0.94453565199460678E-3,-0.59688095813331132,-0.31317352214914923,-0.73868495777466359
1,-6.9088057560014056,47.584503412922174,-41.887902047863896,-0.55534963230887042E-3,0.71455405641863133E-3,0.90332771093242490E-3,-0.43431755998406218,0.55882520885122200,0.70645781405677621
1,-35.234414704936718,32.719299846254344,-41.887902047863896,-0.10599835308103211E-2,-0.53740365505454369E-3,0.47184096148303464E-3,-0.82897229770521330,-0.42028270230310183,0.36900864458998978
1,-46.686823036005180,11.504656310959341,-41.887902047863896,0.79131745513424565E-3,0.74048881567551138E-3,-0.67859757297508228E-3,0.61885890669961940,0.57910778527500095,-0.53070502789443685
1,-34.000121779403678,-34.000121779403678,41.887902047863896,-0.10648092144472381E-2,0.24780692718582480E-3,-0.66315513317421256E-3,-0.83274627903248488,0.19380025429212211,-0.51862809044040370
1,-28.051078571375065,-39.053214374889841,41.887902047863896,0.79894693857760087E-3,0.40491207802309645E-3,0.91254132256946604E-3,0.62482563187647855,0.31666614237939866,0.71366342488648660
1,-12.021089119093205,-46.556524552627195,41.887902047863896,0.76406577254759152E-3,-0.78773606119079606E-3,-0.65625990286562175E-3,0.59754641525654772,-0.61605803642192802,-0.51323559636292548
1,23.306721852006977,-42.057261900196742,41.887902047863896,0.77248571264966785E-3,0.90136511681314650E-3,0.47519303123350851E-3,0.60413132614438259,0.70492294477887607,0.37163016924801368
1,34.000121779403678,-34.000121779403678,41.887902047863896,-0.10233291974293796E-2,-0.84544958462316806E-4,0.76200470515311129E-3,-0.80030635518776361,-0.66119356045391264E-1,0.59593453382248296
1,34.000121779403678,-34.000121779403678,-41.887902047863896,0.56401079540356527E-3,0.10711793615140672E-2,-0.41166523428981229E-3,0.44109112208452239,0.83772812572841648,-0.32194752582023589
1,45.289681311205243,16.151202083994441,-41.887902047863896,-0.85860948551558334E-3,-0.46750372123711055E-4,-0.94636452864490465E-3,-0.67148541213204072,-0.36561665602804050E-1,-0.74011525176975790
