 energy shell parameters
             Nshells                80
              kstart      63.770000000
                kend    1660.000000000
                  Np                40
 isotropic coordinates
    i    j                 x                 y                 z
    1    1   0.237736038E+02   0.417951232E+02   0.418879020E+02
    1    2  -0.158270314E+02   0.454039826E+02   0.418879020E+02
    1    3  -0.313981646E+02   0.364166421E+02   0.418879020E+02
    1    4  -0.125962561E+02   0.464042120E+02   0.418879020E+02
    1    5   0.463792203E+02   0.126879661E+02   0.418879020E+02
    1    6   0.326306542E+02   0.353165254E+02   0.418879020E+02
    1    7   0.340001218E+02   0.340001218E+02   0.418879020E+02
    1    8  -0.340001218E+02   0.340001218E+02  -0.418879020E+02
    1    9  -0.340001218E+02   0.340001218E+02  -0.418879020E+02
    1   10  -0.403093460E+02   0.262139884E+02   0.418879020E+02
    1   11  -0.340001218E+02  -0.340001218E+02   0.418879020E+02
    1   12  -0.247295332E+02  -0.412367160E+02   0.418879020E+02
    1   13   0.106353608E+02  -0.468924905E+02   0.418879020E+02
    1   14   0.456774446E+02  -0.150195745E+02   0.418879020E+02
    1   15   0.473242571E+02   0.851065494E+01   0.418879020E+02
    1   16   0.340001218E+02   0.340001218E+02   0.418879020E+02
    1   17   0.340001218E+02   0.340001218E+02  -0.418879020E+02
    1   18  -0.690880576E+01   0.475845034E+02  -0.418879020E+02
    1   19  -0.352344147E+02   0.327192998E+02  -0.418879020E+02
    1   20  -0.466868230E+02   0.115046563E+02  -0.418879020E+02
    1   21  -0.340001218E+02  -0.340001218E+02   0.418879020E+02
    1   22  -0.280510786E+02  -0.390532144E+02   0.418879020E+02
    1   23  -0.120210891E+02  -0.465565246E+02   0.418879020E+02
    1   24   0.233067219E+02  -0.420572619E+02   0.418879020E+02
    1   25   0.340001218E+02  -0.340001218E+02   0.418879020E+02
    1   26   0.340001218E+02  -0.340001218E+02  -0.418879020E+02
    1   27   0.452896813E+02   0.161512021E+02  -0.418879020E+02
    1   28   0.280048384E+02   0.390863862E+02  -0.418879020E+02
    1   29  -0.172704190E+02   0.448748169E+02  -0.418879020E+02
    1   30  -0.452313821E+02  -0.163137561E+02  -0.418879020E+02
    1   31  -0.307064327E+02  -0.370017777E+02  -0.418879020E+02
    1   32  -0.340001218E+02  -0.340001218E+02  -0.418879020E+02
    1   33   0.126389252E+02  -0.463926086E+02  -0.418879020E+02
    1   34   0.158941670E+02  -0.453805246E+02  -0.418879020E+02
    1   35   0.446919802E+02  -0.177381924E+02  -0.418879020E+02
    1   36   0.478941771E+02   0.426196636E+01  -0.418879020E+02
